sentence	paragraph	Alatopiikki	kommentti	textid	indicatorword	indicator.deprel	headverb_lemma	headverb_person	words_total	kokoteksti
Asunnon löysin sattuman kautta Facebookista.	Asunnon löysin sattuman kautta Facebookista. Asuin U8-linjan varrella keskustan pohjoispuolella. Asunto sijaitsi 10min kävelymatkan päässä metroasemalta, mikä tuntui joskus turhauttavalta, koska keskustassa asuvilla kavereillani oli metroasemille vain muutaman minuutin kävelymatka.  Maahanmuuttajavaltaisessa ”lähiössä” asuminen oli kuitenkin omalla tavallaan mielenkiintoista. Pidin myös kotiseutuni rauhallisuudesta ydinkeskustan vilinään verrattuna. Berliiniin vaihtoon lähteville opiskelijoille suosittelen WG-gesucht.de –nettisivua. Sivulle voi jättää oman asunnonhakuilmoituksen. Kimppakämpässä asuminen on saksalaisten opiskelijoiden kesken yleistä ja vaihtareille paras tapa tutustua paikallisiin. Berliinin vuokrataso on suhteellisen edullinen (n.270-350e /huone) ja asunnot ovat yleensä kauniita korkeine kattoineen ja avarine huoneineen. Monia huoneita vuokrataan kalustettuina, mikä on vaihtarille kaikista kätevin vaihtoehto. Yliopiston asuntolassa asunut kaverini ei suositellut asuntola-asumista ”yhtään kenellekään”. Hänen solunsa oli likainen ja porukkaa ramppasi sisään ja ulos jatkuvasti. Muutaman hengen kimppakämpässä asuminen on omaa rauhaa kaipaavalle paras vaihtoehto. Asuntoa etsiessä kannattaa vilkaista metrokarttaa. Berliini on todella suuri kaupunki ja melkein mihin tahansa matkaan kuluu helposti 40 minuuttia. Oma ”koulumatkani” kesti yhteensä tunnin, mikä tuntui välillä puuduttavalta. Berliinin julkinen liikenne on onneksi erittäin toimiva.			625	asunto	dobj	löytää	Sing.1	163	https://puolukka.uta.fi/jhout/analyzer/index.php?id=625
Asuntoa minulla ei ollut valmiiksi, mutta kämppäkaverit olivat.	Asuntoa minulla ei ollut valmiiksi, mutta kämppäkaverit olivat. Suosittelen kämppien katselua etukäteen ja ottamista yhteyttä vaikkapa Roommates Sevillaan. Se on hieman kalliimpi kuin yksityinen, mutta varma ja helppo tapa järjestää asuminen. Voit myös kommunikoida englanniksi, mikäli et osaa espanjaa. Monet yksityiset vuokranantajat eivät puhu englantia juurikaan. Jos etsit asuntoa vasta kun saavut paikalle, niin mieluisaa kämppää saat jo etsimällä etsiä. Vuokrataso on edullinen, mutta asumisen taso erittäin vaihteleva. Jotkin asunnot ovat todella murjuja ja jotkin ihan siistejä, vaikka hinta on sama. Neuvon kuitenkin, että ei kannata hirveän kauaksi metroa mennä, mikäli aikoo opiskella paljon ja kuljet päivittäin yliopistolle. Muutoin hyviä alueita on paljon, Amate–nimistä aluetta välttäisin. Itse asuin Macarenan lähellä San Julianin kaupunginosassa siistissä yksityiseltä vuokratussa edullisessa asunnossa. Panosta myös lämpimiin vaatteisiin. Sisätiloissa on kylmä – villasukat mukaan! Varaudu myös puutteisiin varustetasossa, meillä ei ollut esimerkiksi uunia. Kuitenkin kämppä ja kämppikset olivat tosi mukavia!			220	asunto	dobj	olla	--	21	https://puolukka.uta.fi/jhout/analyzer/index.php?id=220
Päätimme vaihtoon lähtiessämme, ettemme halua asuntolamajoitusta, vaan hoidamme itsenäisesti välittäjäfirman kautta itsellemme asunnon.	Päätimme vaihtoon lähtiessämme, ettemme halua asuntolamajoitusta, vaan hoidamme itsenäisesti välittäjäfirman kautta itsellemme asunnon. Tässä kannattaa olla varovainen, sillä silloin tällöin kuulee tarinoita, joissa uuteen maahan muuttavaa opiskelijaa on huijattu tavalla tai toisella.			767	asun#tola#majoitus	dobj	päättää	Plur.1	79	https://puolukka.uta.fi/jhout/analyzer/index.php?id=767
Asuin yliopiston asuntolassa, Shaw collegessa.	Asuin yliopiston asuntolassa, Shaw collegessa. Jaoin pienen huoneen kiinalaisen tytön kanssa ja meillä kaikki sujui hyvin eli huoneen jakaminen ei ollut minkäänlainen ongelma. Vessa ja keittiö jaettiin koko kerroksen kanssa. Varsinaisesti tämän puolen vuoden aikana ei tullut juurikaan kokkailtua, vaan lounas ja päivällinen syötiin usein koulun kanttiinissa, jossa oli tarjolla paljon perinteistä hongkongilaista ruokaa eli lyhyesti riisiä ja nuudelia erilaisilla lisukkeilla muutaman euron hintaan.			387	asua	root	asua	Sing.1	64	https://puolukka.uta.fi/jhout/analyzer/index.php?id=387
Asuin kevään The Student Hotellissa( thestudenthotel.com)	Asuin kevään The Student Hotellissa (thestudenthotel.com) lähellä keskustaa. Hotellilta pyöräili noin 25 minuuttia yliopistolle, metrolla aikaa meni reilut 20 minuuttia. Suurin osa vaihtareista majoittui yliopiston kautta saatavissa opiskelija-asunnoissa lähempänä yliopistoa Uilenstedessä. Näistä asunnoista suurin osa on aika huono kuntoisia, monessa jaetaan sekä vessa että keittiö kymmenen hengen kanssa ja itsekin olin muutamissa kerrosbileissä, joiden jälkeen yhteiset tilat olivat varmasti kaameassa kunnossa. The Student Hotel oli huomattavasti kalliimpi, mutta hotelli on rakennettu vasta pari vuotta sitten, huoneissa on omat kylpyhuoneet ja jaetut keittiöt ovat suuret. Huoneita on myös omalla keittiöllä, mutta nämä huoneet varataan todella nopeasti. Vuokraan kuuluu hyvä polkupyörä ja sen saa heti käyttöönsä. Student Hotellilta pääsee pyörällä tai ratikalla vartissa keskustaan, kun taas Uilenstedestä keskustaan kestää puoli tuntia.			5	asua	root	asua	Sing.1	119	https://puolukka.uta.fi/jhout/analyzer/index.php?id=5
Vaihtoni ajan en asunut yliopiston asuntoloissa, vaan vuokrasin huoneen Augsburgin yliopiston opiskelijalta, joka lähti suorittamaan omaa vaihtolukukauttaan ja täten hyödyimme kumpikin vuokrajärjestelyistä.	Vaihtoni ajan en asunut yliopiston asuntoloissa, vaan vuokrasin huoneen Augsburgin yliopiston opiskelijalta, joka lähti suorittamaan omaa vaihtolukukauttaan ja täten hyödyimme kumpikin vuokrajärjestelyistä. Löysin ilmoituksen Augsburgin yliopiston nettisivuilta, ERASMUS 4 ERASMUS- palvelusta, jonka kautta vaihtoon lähtevät ilmoittivat vuokrahuoneistaan. Asunto oli iso ja hyväkuntoinen, tosin sinne saavuttuani käytin muutaman iltapäivän siivoukseen. Asuin yhden kämppäkaverin kanssa, joka oli Augsburgiin saapuessani vierailemassa sukulaisillaan ulkomailla, joten tapasin hänet vasta kaksi viikkoa saapumiseni jälkeen. Olin jännittänyt kämppäkaverin kanssa asumista, sillä olen tottunut asumaan yksiöissä ja nautin omasta rauhastani, mutta kämppäkaverini oli todella huomaavainen, kohtelias ja avulias, joten jännittämiseni osoittautui turhaksi. Asunnossa oli käytössäni oman huoneeni lisäksi hyvä keittiö, tilava olohuone ja pesuhuone ja maksoin vuokraa 270e kuussa. Mielestäni vuokrataso oli oikein sopiva. Pesukonetta asunnossa ei ollut ja jouduin pesemään pyykkini maksullisessa pesulassa, mutta tämä oli vain pieni puute.			620	asua	root	asua	--	31	https://puolukka.uta.fi/jhout/analyzer/index.php?id=620
Asuin OeAD:n soluasunnossa kiinalaisen kämppikseni kanssa koko vaihdon ajan.	Asuin OeAD:n soluasunnossa kiinalaisen kämppikseni kanssa koko vaihdon ajan. Sitä kautta asunto oli helppo saada, mutta vuokra oli varsin korkea. Suosittelen etsimään asuntoa yksityiseltä puolelta, mikäli aika ja viitseliäisyys vain suinkin riittävät. Paitsi että vuokra oli sijaintiin nähden ylimitoitettu, oli talossa monia mielestäni kummallisia sääntöjä. Asunnossamme kävi myös siivooja viikoittain, mitä itse hieman oudoksuin. Käytäntö on kuitenkin varsin yleinen Itävallassa.			306	asua	root	asua	Sing.1	36	https://puolukka.uta.fi/jhout/analyzer/index.php?id=306
Asuin kansainvälisten opiskelijoiden asuntolassa, joka oli vain parin sadan metrin päässä omasta koulurakennuksestani.	Asuin kansainvälisten opiskelijoiden asuntolassa, joka oli vain parin sadan metrin päässä omasta koulurakennuksestani. Jaoin pienen huoneen vietnamilaisen tutkinto-opiskelijan kanssa. Suihkut ja wct sekä keittiö jaettiin koko kerroksen asukkaiden kesken. Huoneessa oli valmiina peitot ja tyynyt, sekä petivaatteet, jotka voi itse vaihtaa puhtaisiin maanantaisin. Monet lyhytaikaiset vaihto-opiskelijat asuivat asuntolan hieman kalliimmassa ja hienommassa osassa. Sielläkin huoneet jaetaan, mutta ne ovat isompia ja uudempia ja jokaisessa huoneessa on oma kylpyhuone. Huone kannattaa tarkistaa muuttaessaan sisään, itse jouduin korvaamaan pöytälampun lähtiessäni, vaikka sellaista en ollut huoneessa ikinä nähnytkään. Henkilökunnan mukaan sellainen kuitenkin pitäisi olla jokaisella, enkä ollut ilmoittanut sen puuttuvan, joten jouduin antamaan siitä pienen rahallisen korvauksen. Kansainvälisten opiskelijoiden asuntolassa asuminen vaikutti tietenkin siihen, että paikallisiin opiskelijoihin oli vaikeampi tutustua, lähes kaikki lähimmät ystäväni olivat toisia kansainvälisiä opiskelijoita.			378	asua	root	asua	Sing.1	125	https://puolukka.uta.fi/jhout/analyzer/index.php?id=378
Asuin aluksi isäntäperheeni luona muutaman viikon, jonka aikana etsin asunnon paikan päältä.	Asuin aluksi isäntäperheeni luona muutaman viikon, jonka aikana etsin asunnon paikan päältä. Asuntoa etsiessä kannattaa huomioida, että suurin osa asunnoista vuokrataan vähintään 9kk ajaksi ja tämä näkyy myös asuntojen hinnoissa. Itse päädyin asumaan opiskelijoille suunnattuun asuntokompleksiin, jossa minulla oli oma huone ja jaoin keittiön sekä suihkun kolmen muun kanssa. Maksoin kyseisestä asunnosta noin 500€/kk ja se piti sisällään netin, sähkön ja veden, ainoastaan pyykin peseminen maksoi muutaman dollarin. Sijainnilta se oli vain muutaman korttelin päässä kampukselta.			859	asua	root	asua	Sing.1	77	https://puolukka.uta.fi/jhout/analyzer/index.php?id=859
Asuin Julius Raab Heimissä 10 minuutin kävelymatkan päässä kampuksesta.	"Asuin Julius Raab Heimissä 10 minuutin kävelymatkan päässä kampuksesta. Raab Heimissa asuu myös suurin osa kaikista vaihto-opiskelijoista, joten tuttuihin naamoihin törmää käytävillä. Lisäksi Raabin ""common roomeissa"" tuli istuttua monia iltoja juttelemassa ja pitämässä hauskaa. Asuin keittiöllisessä yksiössä jonka vuokra oli n. 350 euroa. Saapuminen oli helppoa. Raab Heim toimii myös kesähotellina joten alakerrassa on 24h respa. JKU:n kansainvälinen toimisto varaa huoneet Online-hakemusten perusteella, joten saavuttuani respaan sain papereiden allekirjoitusten jälkeen avaimen käteen ja huone oli valmiina. Asuntopuolen hoitaminen on tehty siis erittäin helpoksi."			293	asua	root	asua	Sing.1	83	https://puolukka.uta.fi/jhout/analyzer/index.php?id=293
Asuin koko vaihtoni ajan Raatuse 22 opiskelijasuntolan solussa.	"Asuin koko vaihtoni ajan Raatuse 22 opiskelijasuntolan solussa. Omassa solussani oli kolme huonetta, keittiö, wc ja suihku. Soluhuoneet on tarkoitettu jaettavaksi kahdelle henkilölle, mutta itse kaipasin omaa rauhaa ja vuokrasin koko huoneen itselleni. Muuten jaoin asunnon neljän virolaisen kanssa, joiden kanssa tulimme hyvin toimeen. Asunnossa on ""peruskalusteet"" eli sänky, vaatekaappi, kirjoituspöytä ja tuoli, joilla pärjäsi hyvin. Omia astioitakaan ei tarvinnut ostaa, sillä sain käyttää kämppisten ja edellisiltä asukkailta jääneitä astioita ja ruoanlaittovälineitä. Keittiön varustus oli melko heikko, joten hirveästi ruokaa ei tullut laitettua. Yleisesti vuokrataso Virossa on edullisempi kuin Suomessa, mutta huoneen vuokraaminen kokonaan itselleni nosti luonnollisesti hintaa. Vuokraan lisätään myös kuukausittain erikseen jäte-, vesi-, lämmitys- yms. maksut, joten vuokra saattoi kuukaudesta riippuen vaihdella kymmenenkin euroa."			835	asua	root	asua	Sing.1	116	https://puolukka.uta.fi/jhout/analyzer/index.php?id=835
Asuin yliopiston kampuksella ja asunnon olin hankkinut jo etukäteen yliopiston nettisivuilta, mikä oli suhteellisen helppoa.	Asuin yliopiston kampuksella ja asunnon olin hankkinut jo etukäteen yliopiston nettisivuilta, mikä oli suhteellisen helppoa. Asuntoni sijaitsi Darwinissa, joka sijaitsi hyvällä paikalla kampuksella lähellä kaikkia palveluita. Jaoin asunnon neljän muun ihmisen kanssa ja keittiön yhteensä yhdeksän ihmisen kanssa. Vuokran suuruus todellakin yllätti. Yliopiston asuntolassa asuminen on varmasti helpoin ja luotettavin tapa asua, mutta mielikuvat halvasta asumisesta voi unohtaa jo heti alkuunsa.			120	asua	root	asua	Sing.1	61	https://puolukka.uta.fi/jhout/analyzer/index.php?id=120
Asuin vaihtoni ajan North Park Universityn kampuksella, Ohlson-asuntolassa.	Asuin vaihtoni ajan North Park Universityn kampuksella, Ohlson-asuntolassa. Tämä asuntola oli tarkoitettu vain tytöille. Muissa asuntoloissa kerrokset olivat jaettu sukupuolittain. En erityisesti hakenut majoitusta tyttöjen asuntolasta, vaan vaihto-opiskelijat jaetaan automaattisesti asuntoloihin. Ohlsonissa huoneet ovat hyvin erikokoisia ja ne jaetaan vähintään yhden muun opiskelijan kanssa. 26-vuotiaalle tämä asumismuoto vaati totuttelua, mutta lopulta yhteisasuminen sujui mutkattomasti. Asuntoloissa on tarkat vierailuajat ja säännöt asumiselle. Sääntöjen noudattamisen valvomisesta vastaavat kerrosvastaavat ja asuntolan ohjaaja. Asuntoloissa oli maksuton pyykinpesu ja kuivausmahdollisuus. Ohlson oli muihin asuntoloihin verrattuna huomattavasti rauhallisempi. Wc- ja suihkutilat jaetaan koko kerroksen kanssa. Niitä oli kuitenkin useita per kerros.			850	asua	root	asua	Sing.1	40	https://puolukka.uta.fi/jhout/analyzer/index.php?id=850
Suurinosa vaihtareista asuu guest houseissa, jotka vapautuvat turistikauden päätyttyä 1.9.	Suurinosa vaihtareista asuu guest houseissa, jotka vapautuvat turistikauden päätyttyä 1.9. Yliopisto lähettää listan eri guest houseista, jotka majoittavat vaihtareita ja itse aloin kontaktoida niitä noin kaksi tuntia listan saavuttua ja kaikki guest houset olivat jo täynnä. Tässä on oltava siis erittäin nopea ja suosittelenkin hankkimaan majoituksen ennen tämän listan saapumista! Facebook-ryhmästä kävi ilmi, että hyvin moni muukin oli jäänyt ilman majoitusta ja monet muodostivatkin ryhmiä ja alkoivat yhdessä etsiä mm. Airbnb-majoitusratkaisuja. Eli jos guest houset ehtivät menemään täyteen, hätä ei ole tämän näköinen!  Itse löysin vapaan huoneen yksityisen vuokraamasta omakotitalosta aivan Reykjavikin keskustasta. Asuin 7 muun vaihto-opiskelijan kanssa ja huoneestani maksoin 80 000 ISK kuussa, mikä on normaali hintataso keskustan alueen huoneista. Tämä sisälsi veden, sähkön ja netin eli kaiken. Hintataso on todella korkea myös Reykjavikin ulkopuolellakin. Hintataso on ylipäätään kalliimpi kuin Suomessa kaikessa elämisessä. Liha ja juusto ovat melko kalliita Suomeen verrattuna ja jotkut vaihtarit elivät pelkällä pastalla ja riisillä suurimmaksi osaksi. Itse en tähän kuitenkaan lähtenyt mukaan vaan ostin suosiolla lihaa.			260	asua	root	asua	Sing.3	163	https://puolukka.uta.fi/jhout/analyzer/index.php?id=260
Suurin osa opiskelijoista asuu Ryd-nimisellä alueella, jossa on opiskelija-asuntoja.	Suurin osa opiskelijoista asuu Ryd-nimisellä alueella, jossa on opiskelija-asuntoja. Kyseiset asunnot ovat suurimmaksi osaksi corridor-huoneita, joissa asukkailla on oma huone ja wc-kylpyhuone yhdistelmä, mutta yhteinen keittiö muiden käytävän asukkaiden kanssa. Kaikki corridor-huoneet, joissa itse kävin olivat mielestäni varsin hyvän kokoisia ja kuntoisia. Hinta-laatusuhde on niissä varmasti kohdillaan. Lisäksi siellä tutustuu varmasti helpoiten muihin opiskelijoihin, sillä juhlia ja tapahtumia alueella riittää.			569	asua	root	asua	Sing.3	60	https://puolukka.uta.fi/jhout/analyzer/index.php?id=569
Asuin yliopiston asuntolassa, jonka olin varannut ja maksanut etukäteen.	Asuin yliopiston asuntolassa, jonka olin varannut ja maksanut etukäteen. Huone, jossa asuin oli Park Woodissa, viiden hengen talossa. Park Wood on asuntola-alue yliopiston kampusalueella ja noin 10 minuutin kävelymatkan päässä keskeisimmistä opetusrakennuksista. Park Wood on halvin yliopiston asumisvaihtoehdoista, vaikka sekin oli melko kallis. Vuokra on noin 500-600 euroa kuukaudessa ja tämä sisältää veden, sähkön, netin sekä yhteisten tilojen viikoittaisen siivouksen. Asunnon hankkiminen yksityisiltä vuokraajilta saattaa olla halvempaa, mutta itse koin yliopiston asuntolan helpommaksi ratkaisuksi. Yliopiston asuntolat ovat myös lähellä yliopistoa ja niissä tutustuu hyvin muihin opiskelijoihin. Itselläni oli vain positiivisia kokemuksia Park Woodissa asumisesta, lieviä homeongelmia lukuun ottamatta. Muiden asunnoissa en kuitenkaan kuullut juurikaan olevan homeongelmia, joten minulla saattoi vain olla huono tuuri tämän asian suhteen. Lisäksi haluan mainita, että ainakin Park Woodissa asui paljon eri-ikäisiä vaihto-opiskelijoita, joten esimerkiksi vanhempien opiskelijoiden on turha jännittää, että kaikki olisivat kovin nuoria. Omat kämppikseni olivat iältään aina päälle kaksikymmentä vuotiaasta kolmekymmentä vuotiaaseen. Ainakin oman kokemukseni mukaan saman ikäiset opiskelijat oli usein laitettu samoihin taloihin keskenään.			116	asua	root	asua	Sing.1	162	https://puolukka.uta.fi/jhout/analyzer/index.php?id=116
Asuin suomalaisen ystäväni kanssa kampuksella yliopiston asuntolassa eli dormissa.	Asuin suomalaisen ystäväni kanssa kampuksella yliopiston asuntolassa eli dormissa. Vaihtoehtona oli myös URSeoul-niminen yksityinen asuntola kampuksen ulkopuolella, mutta hinnan (noin 2 100 e/hlö/lukukausi) ja sijainnin vuoksi emme nähneet sitä dormia parempana vaihtoehtona. Mahdollista on toki myös vuokrata asunto yksityiseltä, mutta tämä oli vaikeutensa vuoksi harvinaista. Jälkeenpäin ajateltuna olimmekin hyvin tyytyväisiä, että valitsimme nimenomaan yliopiston oman dormin, sillä muuten olisimme jääneet paitsi sen tarjoamasta yhteisöllisyydestä ja hyvistä etäisyyksistä. Huoneet olivat kompakteja kahden hengen huoneita ja tytöt ja pojat oli eroteltu eri siipiin. Petivaatteet ja muut yleistarvikkeet tilasin etukäteen TOWNUS-nimisestä palvelusta, jota meille yliopiston puolesta sähköpostitse tarjottiin. Palvelun kautta voi hankkia myös paikallisen puhelinliittymän, mutta ainakaan oma liittymäni ei tukenut suurinta osaa kaupungin julkisista wifi-verkoista (joita on kaupunkialueella kaikkialla), joten suosittelen hankkimaan paremman liittymän vasta saavuttua Souliin.			434	asua	root	asua	Sing.1	127	https://puolukka.uta.fi/jhout/analyzer/index.php?id=434
Sairastelun lisäksi vaihtovuoden negatiivisin asia oli ehdottomasti asuminen.	Sairastelun lisäksi vaihtovuoden negatiivisin asia oli ehdottomasti asuminen. Meillä oli jokaisella omat huoneet, mutta yhteinen keittiö. Huoneet olivat melko pienet ja aika huonossa kunnossa. Minun huoneessani alkoi keväällä myös haista homeelta ja toukokuussa homeongelma oli jo niin paha, että yksi seinistä oli aivan homeen peitossa. Maksoimme vuokraa 1800 yuania kuukaudessa. Vuokra oli aivan liian korkea paikalliseen vuokratasoon ja huoneiden kuntoon nähden. Keväällä olisimme halunneet muuttaa kampuksen ulkopuolelle, mutta vuokrasopimuksen saaminen vain pariksi kuukaudeksi olisi ollut lähes mahdotonta. Suosittelen asunnon etsimistä kampuksen ulkopuolelta tai sitten tinkaamaan asuntoa halvemmaksi.			409	asua	root	asua	--	40	https://puolukka.uta.fi/jhout/analyzer/index.php?id=409
Hain asuntoa vaihto-opiskelijoille asuntoja järjestävän OeADin kautta varsin myöhään, kesäkuun puolivälissä.	Hain asuntoa vaihto-opiskelijoille asuntoja järjestävän OeADin kautta varsin myöhään, kesäkuun puolivälissä. Olisi kannattanut hakea jo aiemmin keväällä! OeADille pitää maksaa 750e vakuusmaksu ja vasta kun se näkyy heidän tilillään, he alkavat etsiä asuntoa. Hain yhden hengen huonetta, mutta ne olivat jo täynnä. Asuntoloita on eripuolilla kaupunkia ja osassa on kahden hengen huoneita ja myös yhden hengen huoneita, joissa keittiö ja wc jaetaan 1-3 muun asukkaan kanssa. Katselin asuntoa myös yksityisiltä, esim. http://www.schwarzesbrett-oeh.at/wohnen/ -sivuston kautta opiskelijat voivat tarjota asuntoaan/huonettaan vuokralle.			302	asunto	root			83	https://puolukka.uta.fi/jhout/analyzer/index.php?id=302
Lähes kaikki Bratislavan kauppakorkeakoulun vaihto-opiskelijat asuivat Ekonom-nimisessä dormitoryssa.	Lähes kaikki Bratislavan kauppakorkeakoulun vaihto-opiskelijat asuivat Ekonom-nimisessä dormitoryssa. Asuntola sijaitsee kaukana keskustasta, mutta itse yliopistoon matkaa oli vain vajaa kymmenen minuuttia bussilla. Vuokrataso oli jälleen edullinen, noin 70 euroa kuussa. Matalan vuokran kyljessä tulikin sitten myös negatiiviset asiat. Keittiössä ei ollut juurikaan ruoanlaittomahdollisuuksia, esimerkiksi uunia ei ollut lainkaan. Jääkaappi jaettiin useiden kymmenien ihmisten kanssa joka luonnollisesti tarkoitti sitä, että ruokaa ei voinut sinne jättää kovinkaan pitkäksi aikaa. Tästä huolimatta asuminen dormitoryssa oli hyvä ratkaisu, sillä juuri siellä tutustui useimpiin ihmisiin ja sai tietoa aktiviteeteista. Asuminen omassa huoneistossa voi pahimmassa tapauksessa eristää muista vaihto-opiskelijoista.			699	asua	root	asua	Plur.3	93	https://puolukka.uta.fi/jhout/analyzer/index.php?id=699
Asuminen, tai siis lähinnä asunnon hankkiminen, oli varmaankin vaihdon hankalin juttu.	Asuminen, tai siis lähinnä asunnon hankkiminen, oli varmaankin vaihdon hankalin juttu. Astonista tulleessa info-paketissa todettiin, että yliopistokampuksen asunnot on tarkoitettu vain EU-alueen ulkopuolisista maista tuleville tai koko vuoden yliopistolla viettäville opiskelijoille, joten etsin alusta asti asuntoa muualta kuin yliopiston kautta. Täytyy tosin sanoa että useampia vaihtarikavereita asui kyllä yliopiston asuntoloissa, joten kovin tiukkoja noiden sääntöjen kanssa ei siis varmaan olla. Kampusasuminen on kallista (muistaakseni n. 600e/kk), mutta toisaalta yliopiston palveluiden käyttö on siellä ollessa niin helppoa ja silloin asuu käytännössä kaupungin keskustassa, joten julkisilla kulkemiseen ei kulu rahaa ja yöllä on esimerkiksi paljon helpompi päästä keskustasta kotiin. Itse hankin oman asuntolahuoneeni yksityisestä asuntolasta (Hamstead Campus eli HamCam), joka oli 5-6 kilometriä keskustasta poispäin, joten bussilla kulkeminen oli kätevin vaihtoehto. Tähän väliin lisättäköön että paikallisbussilla kulkeminen on todella kallista Birminghamissa, yhdensuuntainen matka maksaa n. 3 euroa ja päivälippu n. 5 euroa, joten vaikka maksoin asumisestani sijainnin vuoksi paljon vähemmän (n. 400e/kk), loppujen lopuksi asumiskustannukset nousivat melko paljon bussilla kulkemisen takia. Muuten olin kyllä melko tyytyväinen asuntolaan, mukavaa henkilökuntaa, kohtuullisen siistit ja toimivat tilat ja kotoisan vehreä lähiympäristö. Huonoiksi puoliksi sijainnin lisäksi voidaan sanoa ehkä yhteiset wc- ja suihkutilat ja ajoittaiset äänekkäät bileet käytävillä. Koska olin hakuprosessin venymisen takia melko myöhässä asunnon etsimisen kanssa, asuntolasta oli tarjolla huoneita vasta helmikuun alusta eteenpäin, joten asuin siihen asti ensimmäiset kolme viikkoa suomalaisen kaverini kanssa hotellissa, joka tuli kyllä yllättävän halvaksi, joten aivan paniikissa ei tarvitse olla vaikka asuntoa ei saisikaan vielä heti saapumispäivästä eteenpäin.			107	asua	root			51	https://puolukka.uta.fi/jhout/analyzer/index.php?id=107
Asuin aluksi halvassa hotellissa yliopiston lähellä.	Asuin aluksi halvassa hotellissa yliopiston lähellä. Asunnon etsiminen osoittautui avusta huolimatta hieman vaikeammaksi urakaksi kuin olin kuvitellut. Olisin halunnut asumaan jonkun brasilialaisen kanssa, mutta en löytänyt mieleistä ilmoitusta, joten aloimme sitten etsiä kämppää yhdessä italialaisen vaihtarin kanssa. Etsimme asuntoa tietynlaiselta alueelta ja halusin siltä melko hyvät ominaisuudet, minkä takia suurimman osan asuntoilmoituksista sivuutin heti. Asuminen yliopiston lähellä esimerkiksi Várzean kaupunginosassa saattaa olla kätevää, mutta alueen rajallisten palveluiden takia suosittelen asumaan lähempänä Boa Vistaa tai Boa Viagemia (Boa Viagemilta tosin on melko pitkä matka yliopistolle). Itse asuin Torren kaupunginosassa ja olin hyvin tyytyväinen valintaani. Recifessä asuntoja saattaa löytää helposti erilaisten Facebook-ryhmien kautta. On myös joitakin nettisivuja, joilta löytyy ilmoituksia. Tarvittaessa kannattaa kysyä asunnon etsimiseen apua esimerkiksi omalta tutorilta tai opintotukitoimistosta. Kaiken kaikkiaan Brasilian vuokrataso on edullinen.			82	asua	root	asua	Sing.1	125	https://puolukka.uta.fi/jhout/analyzer/index.php?id=82
Asuin yliopiston asuntolassa, kuten lähes kaikki muutkin vaihtarit.	Asuin yliopiston asuntolassa, kuten lähes kaikki muutkin vaihtarit. Asunto oli järjestetty minulle etukäteen, joten minun ei tarvinnut kuin ilmestyä paikalle ja kertoa, kuka olen. Vuokra oli halpa, muistaakseni noin 90 euroa kuussa. Asunnossamme asui kuusi tyttöä, ja jokaisella oli huonekaveri. Kannattaa siis varautua siihen, että suomalaisille tuttu yksityisyys voi olla vaihtomaassa hiukan koetuksella.			829	asua	root	asua	Sing.1	53	https://puolukka.uta.fi/jhout/analyzer/index.php?id=829
Asuin omassa asunnossa asuntolan sijaan, koska menin vaihtoon vaimoni kanssa.	Asuin omassa asunnossa asuntolan sijaan, koska menin vaihtoon vaimoni kanssa. Asuntoloissa asuessaan toki tapaa reippaasti enemmän kanssa opiskelijoita, mutta jos kaipaa enemmän omaa rauhaa tai hiljaisuutta suosittelen tarkastamaan yksityiset asuntovaihtoehdot. Omassa tapauksessani kahden ihmisen asumistuilla (420€) löytyi erinomainen valmiiksi sisustettu asunto kohtuullisen matkan päässä keskustasta (10 minuuttia ratikalla). Yhdenkin ihmisen tuilla löytynee mukava huone jaetusta kämpästä. Asuntoja ilman välittäjää voi katsella sivustolta bezrealitky. Ilman välittäjää tosin voi olla hankalaa kommunikoida sillä suuri osa vuokranantajista puhuu englantia huonosti tai ei lainkaan. Välittäjän käyttäminen maksaa yleensä n. 1kk vuokran verran. Hinta saattaa kuulostaa kovalta, mutta toisaalta asiointi sujuu hyvin englanniksi ja asunnosta saa kyseltyä tarpeelliset tiedot helposti. Esimerkiksi city real estate tarjoaa myös apua koko asumisen ajaksi niin asuntoon liittyvissä ongelmissa kuin muissakin asioissa.			754	asua	root	asua	Sing.1	122	https://puolukka.uta.fi/jhout/analyzer/index.php?id=754
Asuimme kaikki kuusi Avantgarde-opiskelija-asuntolassa noin 10-15min pyörämatkan päässä yliopistolta.	Asuimme kaikki kuusi Avantgarde-opiskelija-asuntolassa noin 10-15min pyörämatkan päässä yliopistolta. Meillä oli omat huoneet ja jaoimme keittiön n. 20 muun kerroksessa asuvan henkilön kanssa. Asuntolassa tapasimme paljon eri puolilta maailmaa olevia opiskelijoita ja vaikka eriävät siisteyskäsitykset harmittivat aika ajoin, olin iloinen, että olimme valinneet tämän paikan, sillä tunnelma oli rento. Hinta oli 350e/kk sisältäen veden, sähkön ja netin. Luksusta ei tarjolla ollut, mutta kolmen kuukauden asumiseen lyhyellä varoitusajalla paikka oli mielestäni sopiva. Opin joustavuutta.			24	asua	root	asua	Plur.1	6	https://puolukka.uta.fi/jhout/analyzer/index.php?id=24
